code;lat;lng
050BNO;-20.9590429788399;55.650597197401
051BNO;-20.9969223139981;55.6794823343296
052BNO;-21.0377044623327;55.7081449537378
053BNO;-21.0676507416529;55.704450579691
054BNO;-21.1278715539829;55.7939551964288
055BNO;-21.1793141351282;55.8290905214236
056BNO;-21.1962293881089;55.5744091590117
057BNO;-21.143914389116;55.634360786672
058BNO;-21.2176670563705;55.5386641968418
059BNO;-20.9516015972409;55.6204091031789
060BNO;-20.9935697568892;55.5827099652481
061BNO;-21.064515602756;55.5323025899123
062BNO;-21.0286196098959;55.5388987943618
063BNO;-21.1164017461928;55.6451402641734
064BNO;-21.0394960470622;55.719263086417
065BNO;-21.1590438876484;55.7645989904675
066BNO;-20.9837950907342;55.6357830003106
067BNO;-20.9387698634485;55.6379317683737
068BNO;-20.9452208745666;55.6724257243678
069BNO;-21.046025603176;55.7214012757541
070BNO;-20.9642553612714;55.6517238285598
071BNO;-21.2191450188208;55.70299787292
077BNO;-21.105590;55.714828
300BNO;-20.9540082571413;55.6547969128475
301BNO;-20.9690237374876;55.66415566046
302BNO;-21.0517903308741;55.7107950337752
303BNO;-20.9132205246787;55.6141361967654
307BNO;-21.0580184451642;55.7280646056436
308BNO;-21.0885110393038;55.7442559793214
309BNO;-21.0852593307971;55.6940562618973
311BNO;-21.1187580418654;55.7481127279518
312BNO;-21.1884119792199;55.6352624181743
314BNO;-21.0337162295424;55.6782057707659
315BNO;-21.2187251668705;55.5524397984157
317BNO;-21.0110317394605;55.6839569200584
318BNO;-21.213877706951;55.6544213728959
319BNO;-21.1361014815738;55.6200085586409
320BNO;-21.2124520662171;55.8137132911085
321BNO;-21.1905047208016;55.5366485985043
322BNO;-21.209875650967;55.5925160742359
350BNO;-20.9718269595614;55.6901098891634
353BNO;-21.0176891929343;55.4862162271353
361BNO;-21.1516912435519;55.608712968847
362BNO;-20.9307940639096;55.6482926007052
363BNO;-21.1044124611075;55.6675401026787
364BNO;-21.0440670162744;55.7156537595607
365BNO;-21.0368104730364;55.7165339511458
366BNO;-21.0242971992512;55.7008998591242
367BNO;-20.9740321688704;55.648577498867
368BNO;-20.9357782098076;55.6219965127603
369BNO;-21.1057388252222;55.7467104973153
370BNO;-21.1404652557457;55.8105990868774
371BNO;-21.0002781737022;55.6523625476121
372BNO;-20.9592140169577;55.688729029203
373BNO;-21.0728893052842;55.7294107374372
374BNO;-21.0534550473242;55.700444905299
375BNO;-20.9391409415075;55.6539585427473
376BNO;-21.0349172304496;55.6956790844271
377BNO;-20.9709654061988;55.6209721539014
378BNO;-21.0131920523399;55.7005727131659
379BNO;-21.1295563512591;55.7781984898118
380BNO;-20.9264065476916;55.6316493991937
381BNO;-20.9551581377528;55.672424628117
382BNO;-20.9479000328179;55.6523415603498
383BNO;-21.0036720154296;55.6925355127589
384BNO;-20.9060126266829;55.6087033095572
385BNO;-20.938842;55.600105
391BNO;-20.9048123909219;55.6022154335284
392BNO;-21.1266718567228;55.7690943202097
001DNI;-20.8783582676814;55.4508329068139
002DNI;-20.8882906223724;55.4613621942024
003DNI;-20.8992090299375;55.4630485535241
004DNI;-20.8931420551529;55.4856999804721
005DNI;-20.8753719793436;55.4542370833193
006DNI;-20.8982185341733;55.5566612833468
007DNI;-20.927132553237;55.5854992220477
009DNI;-20.8935693930135;55.4952219920157
010DNI;-20.9328518581555;55.4335525418372
011DNI;-20.9129910633521;55.4026873887118
014DNI;-20.9165321324941;55.4941756530472
015DNI;-20.912760242733;55.5111244025465
017DNI;-20.8937186073043;55.4502427695588
018DNI;-20.8749785645264;55.4210530970515
019DNI;-20.8812382101416;55.4506399733385
020DNI;-20.8916967507424;55.4514169549499
021DNI;-20.881436497194;55.4545883789884
022DNI;-20.886526809366;55.4681471220188
023DNI;-20.9002154367484;55.4877631722973
024DNI;-20.8984963515049;55.5173502640328
025DNI;-20.8840385300481;55.4426909510806
026DNI;-20.8907785809578;55.47995625936
027DNI;-20.9100663101748;55.4831748034241
028DNI;-20.9047007943188;55.4801620641896
030DNI;-20.8938161080535;55.4630457497051
033DNI;-20.9221498277763;55.4606226031307
034DNI;-20.917316704568;55.4746798341411
035DNI;-20.9150159819656;55.4389967336965
038DNI;-20.9236545290761;55.5194296798366
041DNI;-20.9050926064198;55.5020287713929
042DNI;-20.8990630111878;55.4953690716236
044DNI;-20.8888607056077;55.4837147469143
045DNI;-20.8880060698064;55.4759853473383
047DNI;-20.8955591147251;55.4690360324852
048DNI;-20.8950302955046;55.4745495083314
049DNI;-20.8960097110235;55.4902470021854
200DNI;-20.8974929880633;55.4812729061777
201DNI;-20.89434023598;55.5007031477202
202DNI;-20.8752204579648;55.4494714013622
203DNI;-20.8785469050716;55.4461711230965
204DNI;-20.8855547873687;55.4494998771248
205DNI;-20.8852757618137;55.4565964606148
206DNI;-20.8911855573331;55.4578241148203
208DNI;-20.8915203532746;55.4902726266092
210DNI;-20.9034232856876;55.4909419059956
212DNI;-20.9050422686878;55.5326580874353
213DNI;-20.8955247841017;55.5682708348038
214DNI;-20.8979467922032;55.5491078702534
215DNI;-20.9103864534606;55.5684278115352
220DNI;-20.9009980487146;55.5017522027471
221DNI;-20.919126331091;55.500514473675
240DNI;-20.8973803597067;55.4239333518737
250DNI;-20.9008411972795;55.47381780312
251DNI;-20.8943187302216;55.4576671147797
252DNI;-20.8958814749098;55.4122888799903
253DNI;-20.9175725623863;55.5528706295034
254DNI;-20.8815464447631;55.4289814008563
256DNI;-20.8890494716897;55.4463784428367
260DNI;-20.8923108708116;55.4704627667723
261DNI;-20.8879106070273;55.454281808778
262DNI;-20.8789495287856;55.4552770136527
263DNI;-20.8867347462851;55.4303211406214
266DNI;-20.8810151608536;55.4420012317484
267DNI;-20.8856106692553;55.4962144388674
268DNI;-20.8866957048158;55.4182392159239
271DNI;-20.8944489009955;55.5330109968805
273DNI;-20.8998912922998;55.4696168503564
274DNI;-20.9308198879448;55.5300898654156
276DNI;-20.9234517041899;55.4941738615054
277DNI;-20.8820294350367;55.3953833838076
278DNI;-20.8974712394672;55.3738504443382
279DNI;-20.8907750931296;55.3850053812587
280DNI;-20.9225325295595;55.450004326729
281DNI;-20.8860315062779;55.432433530959
283DNI;-20.8998378641315;55.4466807167254
284DNI;-20.9084572056705;55.4628388908687
285DNI;-20.9123020495451;55.492871991417
286DNI;-20.9139387741768;55.4838761002839
289DNI;-20.9355522163791;55.4957452573543
290DNI;-20.9043951848681;55.4822897451634
291DNI;-20.915573855827;55.5282868522418
297DNI;-20.8737775149529;55.4477465409176
299DNI;-20.8847918766484;55.4640603326757
386DNI;-20.8843306643117;55.4599799318026
801DNI;-20.8913177325904;55.5124990829622
802DNI;-20.8913892380104;55.5113736963383
803DNI;-20.896896;55.496604
100PAU;-20.9379524186912;55.3001471869462
101PAU;-20.9261156122613;55.2862057456151
102PAU;-20.9518041646263;55.3409735187422
103PAU;-21.0078252998989;55.2763955461828
105PAU;-21.1480745731391;55.3187409660447
106PAU;-21.0687838633077;55.3874120488364
107PAU;-21.087178492868;55.2668679822079
108PAU;-21.206722085602;55.3313992786378
109PAU;-21.0509233272063;55.2258656451828
110PAU;-21.2158241667004;55.3084285588198
111PAU;-21.1758983312228;55.288476600091
113PAU;-20.984558025414;55.3336486671391
